ID,PredictedProb
0,0.211171
1,0.910006
2,0.760591
7,0.599343
10,0.740696
11,0.651847
13,0.945053
14,0.6723
15,0.921432
16,0.833897
17,0.752297
18,0.793751
19,0.965232
20,0.852919
25,0.884585
26,0.852284
29,0.87549
38,0.958019
41,0.949111
44,0.556307
45,0.353509
47,0.759868
48,0.626244
49,0.841898
50,0.8678
53,0.526934
56,0.508387
59,0.833535
60,0.770503
64,0.801342
65,0.960579
66,0.783445
68,0.870357
69,0.661573
70,0.940777
71,0.757549
72,0.634725
76,0.858582
80,0.783215
82,0.720929
83,0.950442
85,0.886725
86,0.809703
87,0.637153
89,0.830437
97,0.863038
99,0.578315
101,0.771137
102,0.203161
103,0.560569
104,0.545806
106,0.954976
107,0.621085
109,0.932365
111,0.356539
113,0.804921
114,0.51063
118,0.837603
119,0.695404
120,0.929646
123,0.712826
128,0.299483
129,0.893789
131,0.934943
133,0.655675
134,0.75324
136,0.922829
137,0.712862
139,0.714291
140,0.883541
142,0.738453
144,0.815361
146,0.902136
147,0.716822
148,0.917999
150,0.198508
151,0.19978
152,0.962384
155,0.965235
158,0.88026
159,0.608167
160,0.975065
161,0.648008
165,0.929133
166,0.46366
170,0.944366
171,0.793886
174,0.65418
175,0.68095
179,0.764757
180,0.916308
181,0.804686
184,0.66348
185,0.64447
187,0.82542
188,0.815502
190,0.765751
191,0.806507
192,0.61636
193,0.885342
196,0.863143
197,0.582562
198,0.627732
205,0.0763554
211,0.845481
213,0.79765
214,0.835194
217,0.577626
218,0.832095
221,0.752186
222,0.594105
225,0.805149
229,0.590568
236,0.621199
237,0.915201
238,0.818916
239,0.962698
242,0.678324
245,0.911978
246,0.757517
247,0.901962
248,0.982787
254,0.903654
255,0.51923
257,0.954224
259,0.775295
264,0.931317
270,0.661283
272,0.770842
274,0.366816
275,0.319891
278,0.751022
280,0.303528
281,0.280668
282,0.31154
283,0.789551
284,0.960223
286,0.88951
287,0.910744
288,0.903801
289,0.875456
290,0.570299
291,0.783243
294,0.547075
295,0.359169
297,0.57758
299,0.657179
305,0.815429
307,0.586102
308,0.776921
313,0.582022
314,0.761184
315,0.781778
316,0.925434
317,0.87793
319,0.573108
322,0.829788
323,0.865747
324,0.837648
326,0.907557
327,0.775552
329,0.980084
330,0.0718451
331,0.455599
336,0.40214
337,0.470067
338,0.819766
340,0.960103
345,0.450916
347,0.866904
348,0.878623
350,0.982538
352,0.882321
356,0.943748
357,0.947836
358,0.9153
359,0.738355
361,0.796929
363,0.304157
364,0.72445
368,0.833759
376,0.974594
378,0.772675
382,0.81878
384,0.464203
385,0.951993
388,0.196365
389,0.955716
391,0.835403
392,0.717069
395,0.788869
396,0.861299
397,0.817259
399,0.785582
404,0.961977
407,0.477346
409,0.832704
410,0.863712
413,0.52877
414,0.596606
416,0.741923
418,0.749654
419,0.866838
420,0.945579
422,0.947458
423,0.839238
427,0.692685
429,0.975371
430,0.546743
431,0.736504
432,0.713996
433,0.896115
434,0.0616803
436,0.690742
437,0.872206
451,0.66729
452,0.726377
454,0.782976
457,0.899536
458,0.903726
460,0.566522
461,0.947177
462,0.745661
463,0.841212
465,0.934379
467,0.915255
473,0.86513
474,0.9493
480,0.145752
481,0.79978
483,0.870285
484,0.494562
485,0.588528
487,0.908347
490,0.946739
491,0.808216
492,0.568625
496,0.881541
497,0.598975
498,0.739289
499,0.893311
501,0.803285
502,0.927974
503,0.81703
506,0.910465
507,0.723628
508,0.58431
509,0.778682
510,0.795722
511,0.875556
513,0.830751
515,0.927552
521,0.48532
522,0.825711
523,0.898356
525,0.899891
529,0.829854
530,0.562373
531,0.637893
533,0.77306
534,0.664838
535,0.944583
537,0.631134
541,0.586592
542,0.695592
543,0.737034
544,0.828735
545,0.610966
549,0.928896
550,0.88249
551,0.850847
553,0.550539
556,0.910634
558,0.556037
560,0.749735
563,0.544295
564,0.941138
567,0.332119
572,0.611354
573,0.922568
577,0.916195
583,0.894694
584,0.797674
585,0.802417
586,0.770457
588,0.785053
590,0.707579
591,0.64395
593,0.9379
594,0.724287
597,0.832418
598,0.689699
599,0.916217
603,0.832309
604,0.669741
606,0.921733
607,0.460343
609,0.721952
614,0.850918
615,0.898891
616,0.567163
617,0.892424
618,0.861007
619,0.809169
620,0.904064
623,0.681746
625,0.904014
626,0.834071
627,0.887522
632,0.921821
633,0.585466
634,0.847248
635,0.751159
636,0.886247
637,0.87152
638,0.797428
639,0.943628
642,0.489
643,0.880857
644,0.95537
645,0.266172
646,0.848713
650,0.903922
653,0.609748
654,0.719568
655,0.302656
656,0.842989
657,0.79681
658,0.678589
660,0.477023
661,0.774323
668,0.891688
669,0.686564
671,0.858632
672,0.735055
676,0.931997
678,0.919276
680,0.845226
682,0.845645
684,0.861095
685,0.658531
686,0.636802
687,0.579481
694,0.185328
696,0.728188
697,0.720804
699,0.590464
702,0.953627
707,0.80956
708,0.951963
712,0.963555
717,0.952471
718,0.949841
720,0.539665
721,0.832595
723,0.867554
724,0.681407
727,0.660466
728,0.299283
731,0.832264
733,0.872567
735,0.941691
737,0.789863
738,0.866639
740,0.604232
742,0.976066
743,0.599594
745,0.692215
746,0.902577
747,0.602184
748,0.992678
749,0.872346
750,0.95939
753,0.76767
755,0.812312
756,0.914302
758,0.500543
760,0.723607
762,0.864206
763,0.747303
765,0.948289
767,0.833256
768,0.965924
770,0.751866
772,0.776724
773,0.841345
774,0.80446
775,0.779745
777,0.389869
778,0.911161
780,0.580957
782,0.753298
783,0.958453
786,0.54349
787,0.912055
788,0.761631
789,0.686548
790,0.699885
793,0.755224
795,0.836393
807,0.704599
809,0.795831
810,0.606304
811,0.7278
813,0.253023
815,0.863524
816,0.716619
821,0.865642
823,0.985005
825,0.836843
826,0.838707
827,0.898355
832,0.898552
833,0.803765
834,0.774354
837,0.894945
838,0.985438
839,0.126387
843,0.507088
844,0.794352
845,0.580539
846,0.693714
848,0.723407
850,0.804028
851,0.890473
852,0.635511
855,0.746531
856,0.975659
861,0.72216
862,0.874365
863,0.927876
864,0.745917
865,0.855409
867,0.716978
868,0.877724
869,0.935986
873,0.648043
875,0.679959
877,0.85655
879,0.745764
880,0.975462
881,0.798109
882,0.575517
883,0.962932
887,0.657418
888,0.548363
890,0.962889
897,0.796873
900,0.81993
902,0.700765
904,0.766227
906,0.618194
910,0.91253
913,0.91854
914,0.718897
915,0.552192
918,0.821406
920,0.955362
923,0.845784
926,0.831049
927,0.649152
929,0.651983
930,0.707218
931,0.956962
932,0.914852
933,0.854361
934,0.816494
936,0.607774
939,0.697445
941,0.903595
943,0.640042
947,0.628896
948,0.812856
949,0.98805
950,0.530387
951,0.725575
952,0.64465
953,0.983106
956,0.867098
961,0.665431
962,0.641738
968,0.808016
971,0.961702
972,0.971633
977,0.968559
981,0.697188
985,0.899787
987,0.851262
989,0.98399
993,0.934575
994,0.439656
997,0.979024
998,0.473431
999,0.913158
1002,0.810286
1003,0.95088
1004,0.944863
1005,0.587456
1007,0.702095
1008,0.87786
1014,0.956766
1016,0.838771
1021,0.621298
1023,0.879225
1026,0.919601
1028,0.862931
1029,0.733668
1030,0.569876
1031,0.780732
1032,0.89675
1033,0.980032
1036,0.63948
1037,0.927258
1039,0.722142
1046,0.920867
1047,0.879588
1049,0.951436
1055,0.885212
1057,0.506838
1059,0.784832
1060,0.277364
1062,0.206612
1063,0.845552
1066,0.838332
1067,0.97964
1068,0.393143
1070,0.853441
1071,0.756612
1073,0.778285
1074,0.751494
1075,0.883497
1076,0.662206
1077,0.93721
1079,0.62479
1083,0.63518
1085,0.961387
1087,0.721994
1088,0.494164
1089,0.848305
1092,0.800603
1095,0.74051
1104,0.979375
1106,0.984407
1108,0.598334
1110,0.69097
1117,0.770672
1118,0.736399
1119,0.897156
1121,0.826539
1122,0.838742
1124,0.732237
1125,0.623862
1126,0.53657
1128,0.848773
1129,0.627507
1131,0.399801
1132,0.757965
1133,0.835997
1134,0.505003
1137,0.939716
1138,0.470776
1139,0.662615
1140,0.727642
1141,0.846222
1143,0.748166
1144,0.889552
1145,0.774448
1146,0.891083
1147,0.842214
1149,0.845763
1151,0.721419
1154,0.720932
1156,0.428034
1158,0.808065
1165,0.799497
1166,0.480458
1167,0.597048
1168,0.774822
1169,0.604541
1171,0.601455
1173,0.444481
1175,0.512752
1181,0.557976
1182,0.557701
1184,0.80234
1187,0.797801
1189,0.936228
1190,0.667959
1193,0.659286
1194,0.965836
1196,0.885862
1202,0.672834
1203,0.757544
1206,0.884205
1209,0.964486
1211,0.700215
1212,0.365316
1215,0.747565
1216,0.592936
1220,0.810249
1222,0.883155
1223,0.930982
